id;lat;lon;brand_name;brand_id;name;city;address;zip;phone;worktime;services;payments;foursquare_id;wikimapia_id;status;error
3967;48.602459;15.186313;AVIA;51;Eigl Tankstellen betriebsGmbH;Zwettl;Franz Eigl-Straße 7;3910;282254242;05:00 - 21:00;;;4ee9bdf2e5faa8713edbcdca;0;OK;
4010;48.760754;14.991026;AVIA;51;A.Weber GmbH;Gmünd;Prof. Krejci Graf-Str. 2;3950;02852/51400-11;05:30 - 21:00;;;4e7c962662e1e879c395628c;;OK;
4098;48.665691;15.63271;OMV;55;Frauenhofen, Wiener Straße 6;Frauenhofen;Wiener Str. 6;3580;298260162;0:00 - 24:00;;;;;OK;
4126;48.5728;16.6394;OMV;55;Hobersdorf, Wiener Straße 91;Hobersdorf;Wiener Str. 91;2193;25736010;0:00 - 24:00;;;;;OK;
4268;48.818626;15.276865;AVIA;51;Waidhofen an der Thaya/Eigl;Waidhofen an der Thaya;Heidenreichsteiner Straße 25;3830;284254180;06:00 - 21:30;;;50017a37e4b000090efede4c;0;OK;
4269;48.943123;15.043652;AVIA;51;Sazma Günter;Litschau;Bahnhofstraße 4;3874;28655003;06:30 - 19:00;;;;0;OK;
4289;48.580769;13.503581;Бензиностанция;20;TURMÖL;Freinberg;Hinding 23 a;4785;+43 7713 20754;05:00 - 23:00;;;;0;OK;
4370;48.602261;13.838922;BP;52;Kollerschlag, Falkensteinstr. 16;Kollerschlag;Falkensteinstrasse 16;4154;437287752848;05:00 - 23:00;;;;;OK;
4371;48.850166;15.096459;BP;52;Heidenreichstein, Klein Pertholz 58;Heidenreichstein;Klein Pertholz 58;3860;43286252127;06:00 - 21:00;;;;;OK;
4473;48.564186;16.576015;Eni;50;Mistelbach;Mistelbach;Mitschastr. 38;2130;4325722389;05:00 - 21:00;;;;;OK;
4522;48.679035;13.907765;BP;52;Ulrichsberg, Dreisesselbergstr. 18;Ulrichsberg;Dreisesselbergstr. 18;4161;4372882228;06:00 - 22:00;;;;;OK;
4661;48.736549;13.819277;BP;52;Schwarzenberg, Schwarzenberg 168;Schwarzenberg;Schwarzenberg 168;4164;;0:00 - 24:00;;;;;OK;
4886;48.638481;15.706599;Бензиностанция;20;TURMÖL Station;Horn;Mold 1 a;3580;+43 2982 8291;5:30-21:00;;;;0;OK;
